ticket_id,customer_id,issue_category,resolution_time,customer_satisfaction,ticket_text
1,1102,software,5.91,4,Printer not responding to print commands.
2,1435,network,11.32,3,Unable to connect to WiFi network.
3,1860,hardware,5.23,5,Unable to connect to WiFi network.
4,1270,software,7.22,3,Application crashing during use.
5,1106,network,7.17,2,Unable to connect to WiFi network.
6,1071,hardware,12.36,1,Keyboard keys not working properly.
7,1700,software,3.46,5,Need assistance updating antivirus software.
8,1020,software,3.64,5,Software installation fails with error code.
9,1614,network,9.32,2,Printer not responding to print commands.
10,1121,network,4.14,4,Keyboard keys not working properly.
11,1466,software,6.48,3,Keyboard keys not working properly.
12,1214,software,6.89,3,Application crashing during use.
13,1330,software,5.27,4,Keyboard keys not working properly.
14,1458,software,5.21,3,VPN connection dropping intermittently.
15,1087,software,3.75,5,Unable to connect to WiFi network.
16,1372,network,9.35,1,Laptop overheating and shutting down.
17,1099,software,5.52,4,VPN connection dropping intermittently.
18,1871,hardware,7.24,2,Software installation fails with error code.
19,1663,software,4.41,5,Software installation fails with error code.
20,1130,software,4.76,4,Software installation fails with error code.
21,1661,network,7.21,3,Unable to connect to WiFi network.
22,1308,software,2.96,5,Keyboard keys not working properly.
23,1769,software,6.05,3,Software installation fails with error code.
24,1343,hardware,9.27,1,Printer not responding to print commands.
25,1491,software,5.02,5,Laptop overheating and shutting down.
26,1413,hardware,8.27,3,Keyboard keys not working properly.
27,1805,software,5.71,5,Application crashing during use.
28,1385,network,8.4,3,Unable to connect to WiFi network.
29,1191,software,6.82,3,Need assistance updating antivirus software.
30,1955,network,8.96,2,VPN connection dropping intermittently.
31,1276,network,7.59,3,Blue screen error on startup.
32,1160,hardware,7.78,2,VPN connection dropping intermittently.
33,1459,software,6.3,3,Software installation fails with error code.
34,1313,software,4.58,5,Laptop overheating and shutting down.
35,1021,network,7.66,2,Application crashing during use.
36,1252,software,4.74,3,Keyboard keys not working properly.
37,1747,network,7.2,4,Printer not responding to print commands.
38,1856,network,7.69,4,Frequent disconnections from corporate network.
39,1560,software,7.89,2,VPN connection dropping intermittently.
40,1474,network,5.9,5,Frequent disconnections from corporate network.
41,1058,software,3.78,5,Keyboard keys not working properly.
